Tick	Trade	Buy / Sell	Price	Quantity	Fees	Date
ETH	ETH / USD	Buy	$1,385.37	0.4912886	$13.13	31/01/2021
ETH	ETH / USD	Buy	$1,304.60	0.1999252	$4.52	31/01/2021
ETH	ETH / USDT	Sell	$1,642.00	0.32	$0.29	04/02/2021
SNX	SNX / USDT	Buy	$20.87	1.947	$15.77	04/02/2021
MKR	MKR / USDT	Buy	$1,945.00	0.016476	$15.56	04/02/2021
AAVE	AAVE / USDT	Buy	$476.02	0.132	$0.06	04/02/2021
LINK	LINK / USDT	Buy	$24.04	6.872	$12.94	04/02/2021
DOT	DOT / USDT	Buy	$20.13	8.7953	$2.71	04/02/2021
CHSB	CHSB / USD	Buy	$0.93	218.1	$2.04	05/02/2021
ETH	ETH / USD	Buy	$1,689.43	0.200703	$4.99	06/02/2021
AAVE	AAVE / USD	Buy	$468.57	0.72362	$4.61	06/02/2021
AAVE	AAVE / USDT	Sell	$510.00	0.132	$0.07	10/02/2021
SNX	SNX / USDT	Buy	$23.70	2.7972	$0.07	10/02/2021
ADA	ADA / USD	Buy	$0.93	205.2	$0.07	12/02/2021
AAVE	AAVE / USD	Buy	$434.00	0.03186	$0.13	16/02/2021
EGLD	EGLD / BUSD	Buy	$152.50	0.451	$0.07	18/02/2021
EGLD	EGLD / BUSD	Buy	$154.00	0.44	$0.00	18/02/2021
ETH	ETH / USDT	Sell	$1,935.45	0.11492	$0.00	18/02/2021
DEC	DEC / USDT	Buy	$0.39	478.029	$36.07	18/02/2021
CAKE	CAKE / BUSD	Buy	$18.30	3.75	$0.00	19/02/2021
BNB	BNB / BUSD	Buy	$311.00	0.22	$0.00	19/02/2021
CAKE	CAKE / BUSD	Buy	$16.25	4.27	$0.23	21/02/2021
BNB	BNB / BUSD	Buy	$278.00	0.24	$0.23	21/02/2021
AAVE	AAVE / USD	Buy	$425.30	0.65162	$2.77	22/02/2021
DOT	DOT / USD	Buy	$37.65	3.08	$3.81	22/02/2021
CHSB	CHSB / USD	Sell	$0.92	218.1	$2.20	23/02/2021
ETH	ETH / USD	Buy	$1,508.32	0.132797	$0.00	23/02/2021
ETH	ETH / BUSD	Buy	$1,459.84	0.17653418	$0.00	23/02/2021
BNB	BNB / USD	Sell	$237.76	0.25167213	$0.00	04/03/2021
